mhu-mlv[cms],stc-mlv[cms],eri-mlv[cms],scr-lev[m],det-lev[m],nia-lev[m]
176.4989,175.1771,174.2441,5460.0,5810.0,5620.0
176.4963,175.1767,174.2456,5460.0,5810.0,5630.0
176.4937,175.1763,174.247,5450.0,5810.0,5630.0
176.4911,175.1759,174.2484,5450.0,5800.0,5630.0
176.4885,175.1759,174.2498,5440.0,5800.0,5630.0
176.4859,175.1759,174.2511,5440.0,5800.0,5640.0
176.4833,175.1755,174.2525,5430.0,5790.0,5640.0
176.4807,175.1747,174.2537,5430.0,5790.0,5640.0
176.4781,175.1743,174.255,5430.0,5780.0,5640.0
176.4755,175.1739,174.2562,5420.0,5780.0,5650.0
176.4729,175.1735,174.2574,5420.0,5770.0,5650.0
176.4717,175.1747,174.2613,4960.0,5400.0,5570.0
176.472,175.177,174.2677,4960.0,5390.0,5590.0
176.4724,175.1796,174.274,4960.0,5390.0,5600.0
176.4726,175.1823,174.2803,4950.0,5390.0,5610.0
176.4729,175.185,174.2866,4950.0,5380.0,5630.0
176.4733,175.1882,174.2928,4950.0,5380.0,5640.0
176.4735,175.1912,174.2989,4950.0,5380.0,5650.0
176.4738,175.1944,174.305,4940.0,5370.0,5660.0
176.4742,175.1975,174.3111,4940.0,5370.0,5680.0
176.4744,175.2006,174.3171,4940.0,5370.0,5690.0
176.4748,175.204,174.323,4930.0,5370.0,5700.0
176.4751,175.2072,174.3289,4930.0,5360.0,5710.0
176.4753,175.2099,174.3348,4930.0,5360.0,5730.0
176.4757,175.213,174.3406,4930.0,5360.0,5740.0
176.476,175.2156,174.3462,4920.0,5350.0,5750.0
176.4762,175.2184,174.3519,4920.0,5350.0,5760.0
176.4766,175.2214,174.3575,4920.0,5350.0,5770.0
176.4769,175.2246,174.3631,4920.0,5350.0,5780.0
176.4771,175.2273,174.3687,4910.0,5340.0,5800.0
176.4775,175.23,174.3741,4910.0,5340.0,5810.0
176.4778,175.233,174.3795,4910.0,5340.0,5820.0
176.478,175.2362,174.3849,4910.0,5340.0,5830.0
176.4784,175.2392,174.3903,4900.0,5340.0,5840.0
176.4787,175.2424,174.3956,4900.0,5330.0,5850.0
176.4789,175.2455,174.4008,4900.0,5330.0,5860.0
176.4793,175.2481,174.406,4890.0,5330.0,5870.0
176.4797,175.2505,174.4112,4890.0,5330.0,5880.0
176.4801,175.2531,174.4164,4890.0,5320.0,5900.0
176.4805,175.2563,174.4214,4890.0,5320.0,5910.0
176.4809,175.2593,174.4264,4890.0,5320.0,5920.0
176.4813,175.262,174.4314,4880.0,5320.0,5930.0
176.4823,175.2597,174.4344,4970.0,5420.0,5990.0
176.4839,175.2543,174.4355,4980.0,5400.0,5990.0
176.4855,175.2511,174.4365,4990.0,5380.0,5990.0
176.4871,175.2489,174.4375,4990.0,5370.0,6000.0
176.4887,175.2473,174.4383,5000.0,5360.0,6000.0
176.4903,175.2469,174.4392,5000.0,5360.0,6000.0
176.4919,175.2473,174.4401,5010.0,5360.0,6000.0
176.4935,175.2481,174.441,5010.0,5360.0,6000.0
176.4951,175.2489,174.4419,5010.0,5360.0,6010.0
176.4967,175.2493,174.4428,5010.0,5360.0,6010.0
176.4983,175.2501,174.4436,5020.0,5360.0,6010.0
176.4999,175.2517,174.4444,5020.0,5370.0,6010.0
176.5015,175.2529,174.4452,5020.0,5370.0,6010.0
176.5031,175.2537,174.4461,5020.0,5370.0,6010.0
176.5047,175.2545,174.447,5020.0,5370.0,6020.0
176.5062,175.2557,174.4478,5030.0,5370.0,6020.0
176.5077,175.2569,174.4487,5030.0,5370.0,6020.0
176.5093,175.2581,174.4495,5030.0,5380.0,6020.0
176.5108,175.2593,174.4504,5030.0,5380.0,6020.0
176.5122,175.2601,174.4512,5030.0,5380.0,6030.0
176.5138,175.2613,174.452,5040.0,5380.0,6030.0
176.5152,175.2629,174.4528,5040.0,5390.0,6030.0
176.5168,175.2641,174.4536,5040.0,5390.0,6030.0
176.5183,175.2649,174.4545,5040.0,5390.0,6030.0
176.5197,175.2657,174.4554,5040.0,5390.0,6030.0
176.5212,175.2665,174.4563,5050.0,5390.0,6040.0
176.5227,175.2677,174.4571,5050.0,5390.0,6040.0
176.5242,175.2689,174.458,5050.0,5400.0,6040.0
