UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	smr	
# historical		
2014-06-29 , 	2700.00
2014-06-30 , 	2700.00
2014-07-01 , 	3260.00
2014-07-02 , 	3260.00
2014-07-03 , 	3260.00
2014-07-04 , 	3260.00
2014-07-05 , 	3260.00
2014-07-06 , 	3260.00
2014-07-07 , 	3260.00
2014-07-08 , 	3260.00
2014-07-09 , 	3260.00
2014-07-10 , 	3260.00
2014-07-11 , 	3260.00
2014-07-12 , 	3260.00
2014-07-13 , 	3260.00
2014-07-14 , 	3260.00
2014-07-15 , 	3260.00
2014-07-16 , 	3260.00
2014-07-17 , 	3260.00
2014-07-18 , 	3260.00
2014-07-19 , 	3260.00
2014-07-20 , 	3260.00
2014-07-21 , 	3260.00
2014-07-22 , 	3260.00
2014-07-23 , 	3260.00
2014-07-24 , 	3260.00
2014-07-25 , 	3260.00
2014-07-26 , 	3260.00
2014-07-27 , 	3260.00
2014-07-28 , 	3260.00
2014-07-29 , 	3260.00
2014-07-30 , 	3260.00
2014-07-31 , 	3260.00
2014-08-01 , 	3280.00
2014-08-02 , 	3280.00
2014-08-03 , 	3280.00
2014-08-04 , 	3280.00
2014-08-05 , 	3280.00
2014-08-06 , 	3280.00
2014-08-07 , 	3280.00
2014-08-08 , 	3280.00
2014-08-09 , 	3280.00
2014-08-10 , 	3280.00
2014-08-11 , 	3280.00
2014-08-12 , 	3280.00
2014-08-13 , 	3280.00
2014-08-14 , 	3280.00
2014-08-15 , 	3280.00
2014-08-16 , 	3280.00
2014-08-17 , 	3280.00
2014-08-18 , 	3280.00
2014-08-19 , 	3280.00
2014-08-20 , 	3280.00
2014-08-21 , 	3280.00
2014-08-22 , 	3280.00
2014-08-23 , 	3280.00
2014-08-24 , 	3280.00
2014-08-25 , 	3280.00
2014-08-26 , 	3280.00
2014-08-27 , 	3280.00
2014-08-28 , 	3280.00
2014-08-29 , 	3280.00
2014-08-30 , 	3280.00
2014-08-31 , 	3280.00
2014-09-01 , 	2910.00
2014-09-02 , 	2910.00
2014-09-03 , 	2910.00
2014-09-04 , 	2910.00
2014-09-05 , 	2910.00
2014-09-06 , 	2910.00
2014-09-07 , 	2910.00
2014-09-08 , 	2910.00
2014-09-09 , 	2910.00
2014-09-10 , 	2910.00
2014-09-11 , 	2910.00
2014-09-12 , 	2910.00
2014-09-13 , 	2910.00
2014-09-14 , 	2910.00
2014-09-15 , 	2910.00
2014-09-16 , 	2910.00
2014-09-17 , 	2910.00
2014-09-18 , 	2910.00
2014-09-19 , 	2910.00
2014-09-20 , 	2910.00
2014-09-21 , 	2910.00
2014-09-22 , 	2910.00
2014-09-23 , 	2910.00
2014-09-24 , 	2910.00
2014-09-25 , 	2910.00
2014-09-26 , 	2910.00
2014-09-27 , 	2910.00
2014-09-28 , 	2910.00
2014-09-29 , 	2910.00
2014-09-30 , 	2910.00
2014-10-01 , 	3040.00
2014-10-02 , 	3040.00
2014-10-03 , 	3040.00
2014-10-04 , 	3040.00
2014-10-05 , 	3040.00
2014-10-06 , 	3040.00
2014-10-07 , 	3040.00
2014-10-08 , 	3040.00
2014-10-09 , 	3040.00
2014-10-10 , 	3040.00
2014-10-11 , 	3040.00
2014-10-12 , 	3040.00
2014-10-13 , 	3040.00
2014-10-14 , 	3040.00
2014-10-15 , 	3040.00
2014-10-16 , 	3040.00
2014-10-17 , 	3040.00
2014-10-18 , 	3040.00
2014-10-19 , 	3040.00
2014-10-20 , 	3040.00
2014-10-21 , 	3040.00
2014-10-22 , 	3040.00
2014-10-23 , 	3040.00
2014-10-24 , 	3040.00
2014-10-25 , 	3040.00
2014-10-26 , 	3040.00
2014-10-27 , 	3040.00
2014-10-28 , 	3040.00
2014-10-29 , 	3040.00
2014-10-30 , 	3040.00
2014-10-31 , 	3040.00
2014-11-01 , 	2950.00
2014-11-02 , 	2950.00
2014-11-03 , 	2950.00
2014-11-04 , 	2950.00
2014-11-05 , 	2950.00
2014-11-06 , 	2950.00
2014-11-07 , 	2950.00
2014-11-08 , 	2950.00
2014-11-09 , 	2950.00
2014-11-10 , 	2950.00
2014-11-11 , 	2950.00
2014-11-12 , 	2950.00
2014-11-13 , 	2950.00
2014-11-14 , 	2950.00
2014-11-15 , 	2950.00
2014-11-16 , 	2950.00
2014-11-17 , 	2950.00
2014-11-18 , 	2950.00
2014-11-19 , 	2950.00
2014-11-20 , 	2950.00
2014-11-21 , 	2950.00
2014-11-22 , 	2950.00
2014-11-23 , 	2950.00
2014-11-24 , 	2950.00
2014-11-25 , 	2950.00
2014-11-26 , 	2950.00
2014-11-27 , 	2950.00
2014-11-28 , 	2950.00
2014-11-29 , 	2950.00
2014-11-30 , 	2950.00
2014-12-01 , 	2380.00
2014-12-02 , 	2380.00
2014-12-03 , 	2380.00
2014-12-04 , 	2380.00
2014-12-05 , 	2380.00
2014-12-06 , 	2380.00
2014-12-07 , 	2380.00
2014-12-08 , 	2380.00
2014-12-09 , 	2380.00
2014-12-10 , 	2380.00
2014-12-11 , 	2380.00
2014-12-12 , 	2380.00
2014-12-13 , 	2380.00
2014-12-14 , 	2380.00
2014-12-15 , 	2380.00
2014-12-16 , 	2380.00
2014-12-17 , 	2380.00
2014-12-18 , 	2380.00
2014-12-19 , 	2380.00
2014-12-20 , 	2380.00
2014-12-21 , 	2380.00
2014-12-22 , 	2380.00
2014-12-23 , 	2380.00
2014-12-24 , 	2380.00
2014-12-25 , 	2380.00
2014-12-26 , 	2380.00
2014-12-27 , 	2380.00
2014-12-28 , 	2380.00
2014-12-29 , 	2380.00
2014-12-30 , 	2380.00
2014-12-31 , 	2380.00
2015-01-01 , 	2210.00
2015-01-02 , 	2210.00
2015-01-03 , 	2210.00
2015-01-04 , 	2210.00
2015-01-05 , 	2210.00
2015-01-06 , 	2210.00
2015-01-07 , 	2210.00
2015-01-08 , 	2210.00
2015-01-09 , 	2210.00
2015-01-10 , 	2210.00
2015-01-11 , 	2210.00
2015-01-12 , 	2210.00
2015-01-13 , 	2210.00
2015-01-14 , 	2210.00
2015-01-15 , 	2210.00
2015-01-16 , 	2210.00
2015-01-17 , 	2210.00
2015-01-18 , 	2210.00
2015-01-19 , 	2210.00
2015-01-20 , 	2210.00
2015-01-21 , 	2210.00
2015-01-22 , 	2210.00
2015-01-23 , 	2210.00
2015-01-24 , 	2210.00
2015-01-25 , 	2210.00
2015-01-26 , 	2210.00
2015-01-27 , 	2210.00
2015-01-28 , 	2210.00
2015-01-29 , 	2210.00
2015-01-30 , 	2210.00
2015-01-31 , 	2210.00
2015-02-01 , 	2190.00
2015-02-02 , 	2190.00
2015-02-03 , 	2190.00
