UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	det	
# m applied d		
2015-01-14 , 	4860.00
2015-01-15 , 	4860.00
2015-01-16 , 	4860.00
2015-01-17 , 	4860.00
2015-01-18 , 	4860.00
2015-01-19 , 	4860.00
2015-01-20 , 	4860.00
2015-01-21 , 	4860.00
2015-01-22 , 	4860.00
2015-01-23 , 	4860.00
2015-01-24 , 	4860.00
2015-01-25 , 	4860.00
2015-01-26 , 	4860.00
2015-01-27 , 	4860.00
2015-01-28 , 	4860.00
2015-01-29 , 	4860.00
2015-01-30 , 	4860.00
2015-01-31 , 	4860.00
2015-02-01 , 	4990.00
2015-02-02 , 	4990.00
2015-02-03 , 	4990.00
2015-02-04 , 	4990.00
2015-02-05 , 	4990.00
2015-02-06 , 	4990.00
2015-02-07 , 	4990.00
2015-02-08 , 	4990.00
2015-02-09 , 	4990.00
2015-02-10 , 	4990.00
2015-02-11 , 	4990.00
2015-02-12 , 	4990.00
2015-02-13 , 	4990.00
2015-02-14 , 	4990.00
2015-02-15 , 	4990.00
2015-02-16 , 	4990.00
2015-02-17 , 	4990.00
2015-02-18 , 	4990.00
2015-02-19 , 	4990.00
2015-02-20 , 	4990.00
2015-02-21 , 	4990.00
2015-02-22 , 	4990.00
2015-02-23 , 	4990.00
2015-02-24 , 	4990.00
2015-02-25 , 	4990.00
2015-02-26 , 	4990.00
2015-02-27 , 	4990.00
2015-02-28 , 	4990.00
2015-03-01 , 	5530.00
2015-03-02 , 	5530.00
2015-03-03 , 	5530.00
2015-03-04 , 	5530.00
2015-03-05 , 	5530.00
2015-03-06 , 	5530.00
2015-03-07 , 	5530.00
2015-03-08 , 	5530.00
2015-03-09 , 	5530.00
2015-03-10 , 	5530.00
2015-03-11 , 	5530.00
2015-03-12 , 	5530.00
2015-03-13 , 	5530.00
2015-03-14 , 	5530.00
2015-03-15 , 	5530.00
2015-03-16 , 	5530.00
2015-03-17 , 	5530.00
2015-03-18 , 	5530.00
2015-03-19 , 	5530.00
2015-03-20 , 	5530.00
2015-03-21 , 	5530.00
2015-03-22 , 	5530.00
2015-03-23 , 	5530.00
2015-03-24 , 	5530.00
2015-03-25 , 	5530.00
2015-03-26 , 	5530.00
2015-03-27 , 	5530.00
2015-03-28 , 	5530.00
2015-03-29 , 	5530.00
2015-03-30 , 	5530.00
2015-03-31 , 	5530.00
2015-04-01 , 	5950.00
2015-04-02 , 	5950.00
2015-04-03 , 	5950.00
2015-04-04 , 	5950.00
2015-04-05 , 	5950.00
2015-04-06 , 	5950.00
2015-04-07 , 	5950.00
2015-04-08 , 	5950.00
2015-04-09 , 	5950.00
2015-04-10 , 	5950.00
2015-04-11 , 	5950.00
2015-04-12 , 	5950.00
2015-04-13 , 	5950.00
2015-04-14 , 	5950.00
2015-04-15 , 	5950.00
2015-04-16 , 	5950.00
2015-04-17 , 	5950.00
2015-04-18 , 	5950.00
2015-04-19 , 	5950.00
2015-04-20 , 	5950.00
2015-04-21 , 	5950.00
2015-04-22 , 	5950.00
2015-04-23 , 	5950.00
2015-04-24 , 	5950.00
2015-04-25 , 	5950.00
2015-04-26 , 	5950.00
2015-04-27 , 	5950.00
2015-04-28 , 	5950.00
2015-04-29 , 	5950.00
2015-04-30 , 	5950.00
2015-05-01 , 	5900.00
2015-05-02 , 	5900.00
2015-05-03 , 	5900.00
