UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	sup	
# m applied d		
2014-06-23 , 	5210.00
2014-06-24 , 	5210.00
2014-06-25 , 	5210.00
2014-06-26 , 	5210.00
2014-06-27 , 	5210.00
2014-06-28 , 	5210.00
2014-06-29 , 	5210.00
2014-06-30 , 	5210.00
2014-07-01 , 	4430.00
2014-07-02 , 	4430.00
2014-07-03 , 	4430.00
2014-07-04 , 	4430.00
2014-07-05 , 	4430.00
2014-07-06 , 	4430.00
2014-07-07 , 	4430.00
2014-07-08 , 	4430.00
2014-07-09 , 	4430.00
2014-07-10 , 	4430.00
2014-07-11 , 	4430.00
2014-07-12 , 	4430.00
2014-07-13 , 	4430.00
2014-07-14 , 	4430.00
2014-07-15 , 	4430.00
2014-07-16 , 	4430.00
2014-07-17 , 	4430.00
2014-07-18 , 	4430.00
2014-07-19 , 	4430.00
2014-07-20 , 	4430.00
2014-07-21 , 	4430.00
2014-07-22 , 	4430.00
2014-07-23 , 	4430.00
2014-07-24 , 	4430.00
2014-07-25 , 	4430.00
2014-07-26 , 	4430.00
2014-07-27 , 	4430.00
2014-07-28 , 	4430.00
2014-07-29 , 	4430.00
2014-07-30 , 	4430.00
2014-07-31 , 	4430.00
2014-08-01 , 	3530.00
2014-08-02 , 	3530.00
2014-08-03 , 	3530.00
2014-08-04 , 	3530.00
2014-08-05 , 	3530.00
2014-08-06 , 	3530.00
2014-08-07 , 	3530.00
2014-08-08 , 	3530.00
2014-08-09 , 	3530.00
2014-08-10 , 	3530.00
2014-08-11 , 	3530.00
2014-08-12 , 	3530.00
2014-08-13 , 	3530.00
2014-08-14 , 	3530.00
2014-08-15 , 	3530.00
2014-08-16 , 	3530.00
2014-08-17 , 	3530.00
2014-08-18 , 	3530.00
2014-08-19 , 	3530.00
2014-08-20 , 	3530.00
2014-08-21 , 	3530.00
2014-08-22 , 	3530.00
2014-08-23 , 	3530.00
2014-08-24 , 	3530.00
2014-08-25 , 	3530.00
2014-08-26 , 	3530.00
2014-08-27 , 	3530.00
2014-08-28 , 	3530.00
2014-08-29 , 	3530.00
2014-08-30 , 	3530.00
2014-08-31 , 	3530.00
2014-09-01 , 	3350.00
2014-09-02 , 	3350.00
2014-09-03 , 	3350.00
2014-09-04 , 	3350.00
2014-09-05 , 	3350.00
2014-09-06 , 	3350.00
2014-09-07 , 	3350.00
2014-09-08 , 	3350.00
2014-09-09 , 	3350.00
2014-09-10 , 	3350.00
2014-09-11 , 	3350.00
2014-09-12 , 	3350.00
2014-09-13 , 	3350.00
2014-09-14 , 	3350.00
2014-09-15 , 	3350.00
2014-09-16 , 	3350.00
2014-09-17 , 	3350.00
2014-09-18 , 	3350.00
2014-09-19 , 	3350.00
2014-09-20 , 	3350.00
2014-09-21 , 	3350.00
2014-09-22 , 	3350.00
2014-09-23 , 	3350.00
2014-09-24 , 	3350.00
2014-09-25 , 	3350.00
2014-09-26 , 	3350.00
2014-09-27 , 	3350.00
2014-09-28 , 	3350.00
2014-09-29 , 	3350.00
2014-09-30 , 	3350.00
2014-10-01 , 	2800.00
2014-10-02 , 	2800.00
2014-10-03 , 	2800.00
2014-10-04 , 	2800.00
2014-10-05 , 	2800.00
2014-10-06 , 	2800.00
2014-10-07 , 	2800.00
2014-10-08 , 	2800.00
2014-10-09 , 	2800.00
2014-10-10 , 	2800.00
2014-10-11 , 	2800.00
2014-10-12 , 	2800.00
2014-10-13 , 	2800.00
2014-10-14 , 	2800.00
2014-10-15 , 	2800.00
2014-10-16 , 	2800.00
2014-10-17 , 	2800.00
2014-10-18 , 	2800.00
2014-10-19 , 	2800.00
2014-10-20 , 	2800.00
2014-10-21 , 	2800.00
2014-10-22 , 	2800.00
2014-10-23 , 	2800.00
2014-10-24 , 	2800.00
2014-10-25 , 	2800.00
2014-10-26 , 	2800.00
2014-10-27 , 	2800.00
2014-10-28 , 	2800.00
2014-10-29 , 	2800.00
2014-10-30 , 	2800.00
2014-10-31 , 	2800.00
2014-11-01 , 	1470.00
2014-11-02 , 	1470.00
2014-11-03 , 	1470.00
2014-11-04 , 	1470.00
2014-11-05 , 	1470.00
2014-11-06 , 	1470.00
2014-11-07 , 	1470.00
2014-11-08 , 	1470.00
2014-11-09 , 	1470.00
2014-11-10 , 	1470.00
2014-11-11 , 	1470.00
2014-11-12 , 	1470.00
2014-11-13 , 	1470.00
2014-11-14 , 	1470.00
2014-11-15 , 	1470.00
2014-11-16 , 	1470.00
2014-11-17 , 	1470.00
2014-11-18 , 	1470.00
2014-11-19 , 	1470.00
2014-11-20 , 	1470.00
2014-11-21 , 	1470.00
2014-11-22 , 	1470.00
2014-11-23 , 	1470.00
2014-11-24 , 	1470.00
2014-11-25 , 	1470.00
2014-11-26 , 	1470.00
2014-11-27 , 	1470.00
2014-11-28 , 	1470.00
2014-11-29 , 	1470.00
2014-11-30 , 	1470.00
2014-12-01 , 	330.00
2014-12-02 , 	330.00
2014-12-03 , 	330.00
2014-12-04 , 	330.00
2014-12-05 , 	330.00
2014-12-06 , 	330.00
2014-12-07 , 	330.00
2014-12-08 , 	330.00
2014-12-09 , 	330.00
2014-12-10 , 	330.00
2014-12-11 , 	330.00
2014-12-12 , 	330.00
2014-12-13 , 	330.00
2014-12-14 , 	330.00
2014-12-15 , 	330.00
2014-12-16 , 	330.00
2014-12-17 , 	330.00
2014-12-18 , 	330.00
