UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	sup	
# daily lwa			
2014-07-29 , 	183.68
2014-07-30 , 	183.67
2014-07-31 , 	183.67
2014-08-01 , 	183.67
2014-08-02 , 	183.67
2014-08-03 , 	183.67
2014-08-04 , 	183.67
2014-08-05 , 	183.67
2014-08-06 , 	183.66
2014-08-07 , 	183.66
2014-08-08 , 	183.66
2014-08-09 , 	183.66
2014-08-10 , 	183.65
2014-08-11 , 	183.66
2014-08-12 , 	183.68
2014-08-13 , 	183.67
2014-08-14 , 	183.67
2014-08-15 , 	183.66
2014-08-16 , 	183.67
2014-08-17 , 	183.67
2014-08-18 , 	183.66
2014-08-19 , 	183.66
2014-08-20 , 	183.68
2014-08-21 , 	183.67
2014-08-22 , 	183.67
2014-08-23 , 	183.67
2014-08-24 , 	183.67
2014-08-25 , 	183.67
2014-08-26 , 	183.67
2014-08-27 , 	183.68
2014-08-28 , 	183.67
2014-08-29 , 	183.66
2014-08-30 , 	183.68
2014-08-31 , 	183.68
2014-09-01 , 	183.67
2014-09-02 , 	183.68
2014-09-03 , 	183.68
2014-09-04 , 	183.68
2014-09-05 , 	183.69
2014-09-06 , 	183.69
2014-09-07 , 	183.68
2014-09-08 , 	183.67
2014-09-09 , 	183.68
2014-09-10 , 	183.71
2014-09-11 , 	183.73
2014-09-12 , 	183.71
2014-09-13 , 	183.71
2014-09-14 , 	183.70
2014-09-15 , 	183.70
2014-09-16 , 	183.70
2014-09-17 , 	183.71
2014-09-18 , 	183.70
2014-09-19 , 	183.69
2014-09-20 , 	183.70
2014-09-21 , 	183.72
2014-09-22 , 	183.71
2014-09-23 , 	183.70
2014-09-24 , 	183.70
2014-09-25 , 	183.70
2014-09-26 , 	183.70
2014-09-27 , 	183.69
2014-09-28 , 	183.70
2014-09-29 , 	183.71
2014-09-30 , 	183.70
2014-10-01 , 	183.69
2014-10-02 , 	183.69
2014-10-03 , 	183.71
2014-10-04 , 	183.72
2014-10-05 , 	183.72
2014-10-06 , 	183.71
2014-10-07 , 	183.71
2014-10-08 , 	183.72
